player_id,goals,SOTs,SOTs_pct,shots_per90,SOT_per90,goals_per_shot,goals_per_SOT,avg_shot_dist,shots_fk,pens_scored,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
101,1,5,38.5,0.54,0.21,0.08,0.2,12.3,0,0,0,1.3,1.3,0.1,-0.3,-0.3
102,10,24,54.5,2.03,1.11,0.2,0.38,14.2,0,1,1,7.1,6.3,0.14,2.9,2.7
103,2,10,27.0,1.78,0.48,0.05,0.2,17.1,0,0,0,2.2,2.2,0.06,-0.2,-0.2
104,6,16,42.1,1.74,0.73,0.11,0.25,14.5,0,2,2,7.1,5.5,0.15,-1.1,-1.5
105,10,23,34.8,3.23,1.13,0.15,0.43,14.3,0,0,0,8.6,8.6,0.13,1.4,1.4
106,12,25,43.1,3.68,1.59,0.21,0.48,15.3,0,0,0,6.1,6.1,0.11,5.9,5.9
107,3,21,60.0,2.76,1.65,0.09,0.14,16.3,0,0,0,5.0,5.0,0.14,-2.0,-2.0
108,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
109,1,8,33.3,2.42,0.81,0.04,0.13,11.3,0,0,0,2.7,2.7,0.11,-1.7,-1.7
110,0,3,30.0,0.81,0.24,0.0,0.0,17.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3
111,0,0,0.0,0.3,0.0,0.0,0.0,19.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
112,0,2,66.7,0.32,0.21,0.0,0.0,9.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
113,1,1,20.0,1.18,0.24,0.2,1.0,14.8,0,0,0,0.2,0.2,0.04,0.8,0.8
114,2,4,33.3,2.86,0.95,0.17,0.5,15.2,0,0,0,1.2,1.2,0.1,0.8,0.8
115,2,9,39.1,5.06,1.98,0.09,0.22,23.6,4,0,0,1.5,1.5,0.07,0.5,0.5
116,1,2,40.0,4.02,1.61,0.2,0.5,12.3,0,0,0,0.4,0.4,0.08,0.6,0.6
117,0,0,0.0,1.01,0.0,0.0,0.0,5.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1
118,1,1,50.0,1.21,0.6,0.5,1.0,22.2,0,0,0,0.1,0.1,0.04,0.9,0.9
119,0,1,100.0,0.83,0.83,0.0,0.0,9.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
120,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
122,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
123,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
124,11,29,34.5,2.74,0.95,0.11,0.31,17.8,3,2,2,9.0,7.4,0.09,2.0,1.6
125,6,20,33.3,1.99,0.66,0.1,0.3,16.0,0,0,0,5.4,5.4,0.09,0.6,0.6
126,1,4,28.6,0.48,0.14,0.07,0.25,17.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2
127,1,4,33.3,0.42,0.14,0.08,0.25,9.7,0,0,0,1.9,1.9,0.16,-0.9,-0.9
128,1,4,22.2,0.67,0.15,0.06,0.25,19.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2
129,2,6,35.3,0.65,0.23,0.12,0.33,17.9,0,0,0,1.4,1.4,0.08,0.6,0.6
130,0,2,33.3,0.23,0.08,0.0,0.0,18.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
131,0,5,27.8,0.73,0.2,0.0,0.0,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1
132,0,2,18.2,0.45,0.08,0.0,0.0,16.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8
133,4,10,34.5,1.38,0.48,0.14,0.4,23.2,4,0,0,2.6,2.6,0.09,1.4,1.4
134,1,16,39.0,2.08,0.81,0.02,0.06,16.7,0,0,0,4.9,4.9,0.13,-3.9,-3.9
135,10,22,40.0,2.76,1.1,0.15,0.36,18.1,5,2,3,7.4,5.0,0.09,2.6,3.0
136,5,10,35.7,2.38,0.85,0.18,0.5,14.5,0,0,0,4.2,4.2,0.15,0.8,0.8
137,2,4,26.7,1.49,0.4,0.13,0.5,21.9,4,0,0,1.3,1.3,0.08,0.7,0.7
138,1,1,9.1,1.18,0.11,0.09,1.0,22.1,1,0,0,0.7,0.7,0.06,0.3,0.3
139,0,6,35.3,1.65,0.58,0.0,0.0,17.6,0,0,0,1.1,1.1,0.07,-1.1,-1.1
140,2,2,50.0,0.53,0.27,0.5,1.0,17.8,0,0,0,0.2,0.2,0.05,1.8,1.8
141,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
142,2,2,100.0,0.33,0.33,1.0,1.0,9.5,0,0,0,0.5,0.5,0.24,1.5,1.5
143,2,2,18.2,2.3,0.42,0.18,1.0,18.9,0,0,0,1.5,1.5,0.13,0.5,0.5
144,0,4,66.7,1.57,1.05,0.0,0.0,26.8,1,0,0,0.4,0.4,0.07,-0.4,-0.4
145,1,3,42.9,2.6,1.12,0.14,0.33,19.6,0,0,0,1.0,1.0,0.14,0.0,0.0
146,0,1,20.0,2.12,0.42,0.0,0.0,18.1,1,0,0,0.6,0.6,0.12,-0.6,-0.6
147,0,0,0.0,0.46,0.0,0.0,0.0,12.8,0,0,0,0.1,0.1,0.1,-0.1,-0.1
148,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
149,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
150,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
151,3,8,14.8,1.48,0.22,0.06,0.38,17.2,0,0,0,4.0,4.0,0.07,-1.0,-1.0
152,4,7,36.8,0.6,0.22,0.21,0.57,12.2,0,0,0,1.9,1.9,0.1,2.1,2.1
153,3,3,10.3,0.99,0.1,0.0,0.0,28.6,4,3,3,3.3,1.0,0.03,-0.3,-1.0
154,13,27,42.2,2.18,0.92,0.2,0.48,14.1,0,0,1,9.8,9.0,0.14,3.2,4.0
155,1,4,44.4,0.37,0.17,0.11,0.25,19.8,1,0,0,0.3,0.3,0.04,0.7,0.7
156,0,1,11.1,0.37,0.04,0.0,0.0,13.2,0,0,0,1.0,1.0,0.11,-1.0,-1.0
157,13,16,30.8,2.39,0.74,0.12,0.38,21.2,5,7,7,10.6,5.1,0.1,2.4,0.9
158,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
159,8,19,41.3,2.23,0.92,0.15,0.37,19.8,5,1,1,4.8,4.0,0.09,3.2,3.0
160,1,2,22.2,0.46,0.1,0.11,0.5,12.0,0,0,0,0.5,0.5,0.06,0.5,0.5
161,3,10,25.0,2.07,0.52,0.08,0.3,19.1,1,0,0,2.5,2.5,0.06,0.5,0.5
162,0,6,31.6,0.96,0.3,0.0,0.0,17.8,0,0,0,2.0,2.0,0.1,-2.0,-2.0
163,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
164,1,3,37.5,0.55,0.21,0.13,0.33,23.6,0,0,0,0.2,0.2,0.03,0.8,0.8
165,0,1,12.5,0.6,0.08,0.0,0.0,16.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
166,0,2,25.0,0.63,0.16,0.0,0.0,24.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2
167,0,1,6.3,1.49,0.09,0.0,0.0,19.8,0,0,0,0.8,0.8,0.05,-0.8,-0.8
168,4,7,58.3,1.43,0.83,0.33,0.57,13.3,0,0,0,2.3,2.3,0.19,1.7,1.7
169,3,8,53.3,1.99,1.06,0.2,0.38,13.9,0,0,0,2.4,2.4,0.16,0.6,0.6
170,0,1,50.0,0.27,0.13,0.0,0.0,11.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
171,0,3,20.0,2.61,0.52,0.0,0.0,18.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9
172,2,2,33.3,1.06,0.35,0.33,1.0,11.0,0,0,0,0.4,0.4,0.07,1.6,1.6
173,0,1,100.0,0.23,0.23,0.0,0.0,7.1,0,0,0,0.0,0.0,0.05,0.0,0.0
174,3,7,43.8,2.46,1.08,0.19,0.43,13.1,0,0,0,2.9,2.9,0.2,0.1,0.1
175,1,2,50.0,1.49,0.74,0.25,0.5,11.9,0,0,0,0.6,0.6,0.15,0.4,0.4
176,1,1,50.0,1.23,0.62,0.5,1.0,19.1,0,0,0,0.1,0.1,0.04,0.9,0.9
177,0,0,0.0,1.76,0.0,0.0,0.0,22.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
178,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
179,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
180,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
181,1,3,37.5,0.23,0.09,0.13,0.33,19.9,0,0,0,0.4,0.4,0.05,0.6,0.6
182,5,11,25.6,1.4,0.36,0.12,0.45,17.3,1,0,0,4.4,4.4,0.1,0.6,0.6
183,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
184,5,15,26.8,2.18,0.58,0.09,0.33,22.0,4,0,0,4.7,4.7,0.08,0.3,0.3
185,2,6,23.1,0.99,0.23,0.08,0.33,19.2,0,0,0,1.6,1.6,0.06,0.4,0.4
186,0,5,45.5,0.41,0.19,0.0,0.0,12.0,0,0,0,0.6,0.6,0.05,-0.6,-0.6
187,6,13,31.0,1.93,0.6,0.14,0.46,17.6,3,0,0,4.7,4.7,0.12,1.3,1.3
188,0,2,25.0,0.4,0.1,0.0,0.0,16.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5
189,7,19,42.2,2.45,1.04,0.07,0.16,13.5,0,4,4,9.7,6.6,0.15,-2.7,-3.6
190,0,2,25.0,0.43,0.11,0.0,0.0,22.1,0,0,0,1.0,1.0,0.13,-1.0,-1.0
191,2,2,33.3,0.34,0.11,0.33,1.0,19.5,0,0,0,1.4,1.4,0.23,0.6,0.6
192,2,8,27.6,1.69,0.47,0.07,0.25,20.7,0,0,0,1.8,1.8,0.06,0.2,0.2
193,4,19,35.2,2.89,1.02,0.07,0.21,13.3,1,0,0,7.3,7.3,0.14,-3.3,-3.3
194,0,1,14.3,0.4,0.06,0.0,0.0,16.4,0,0,0,0.9,0.9,0.12,-0.9,-0.9
195,0,1,20.0,0.34,0.07,0.0,0.0,26.4,1,0,0,0.6,0.6,0.12,-0.6,-0.6
196,1,2,16.7,0.79,0.13,0.08,0.5,27.8,0,0,0,0.4,0.4,0.03,0.6,0.6
197,3,9,39.1,1.93,0.75,0.13,0.33,20.0,3,0,0,1.6,1.6,0.07,1.4,1.4
198,0,1,50.0,0.15,0.08,0.0,0.0,18.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2
199,6,11,33.3,2.58,0.86,0.18,0.55,15.7,0,0,0,3.7,3.7,0.11,2.3,2.3
200,1,1,14.3,0.8,0.11,0.14,1.0,26.6,1,0,0,0.2,0.2,0.03,0.8,0.8
201,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
202,1,4,36.4,1.21,0.44,0.09,0.25,20.0,1,0,0,1.5,1.5,0.14,-0.5,-0.5
203,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
204,0,3,30.0,0.36,0.11,0.0,0.0,19.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4
205,8,13,25.5,2.02,0.51,0.16,0.62,20.2,1,0,1,5.7,4.4,0.09,2.3,3.6
206,2,5,31.3,0.64,0.2,0.13,0.4,28.1,7,0,1,1.6,0.8,0.05,0.4,1.2
207,5,7,29.2,0.98,0.29,0.21,0.71,10.2,0,0,0,2.7,2.7,0.11,2.3,2.3
208,2,5,45.5,0.5,0.23,0.09,0.2,28.6,0,1,1,1.0,0.3,0.02,1.0,0.7
209,2,6,27.3,1.09,0.3,0.09,0.33,23.8,0,0,0,1.3,1.3,0.06,0.7,0.7
210,2,3,30.0,0.46,0.14,0.2,0.67,8.8,0,0,0,0.9,0.9,0.09,1.1,1.1
211,1,2,28.6,0.32,0.09,0.14,0.5,20.3,0,0,0,0.5,0.5,0.07,0.5,0.5
212,11,31,38.3,3.99,1.53,0.12,0.32,16.4,2,1,3,10.3,8.0,0.1,0.7,2.0
213,6,7,25.0,1.56,0.39,0.18,0.71,15.6,0,1,1,3.7,2.9,0.1,2.3,2.1
214,3,15,38.5,2.1,0.81,0.08,0.2,16.1,0,0,0,4.6,4.6,0.12,-1.6,-1.6
215,3,11,36.7,1.7,0.62,0.1,0.27,20.6,1,0,0,3.5,3.5,0.12,-0.5,-0.5
216,0,2,16.7,0.74,0.12,0.0,0.0,19.4,0,0,0,0.9,0.9,0.08,-0.9,-0.9
217,3,12,38.7,1.8,0.7,0.06,0.17,12.5,0,1,1,4.5,3.7,0.12,-1.5,-1.7
218,2,13,38.2,2.77,1.06,0.06,0.15,17.0,1,0,0,2.6,2.6,0.08,-0.6,-0.6
219,2,7,29.2,2.03,0.59,0.08,0.29,17.0,0,0,0,1.9,1.9,0.08,0.1,0.1
220,1,7,22.6,3.25,0.73,0.03,0.14,14.3,0,0,0,2.8,2.8,0.09,-1.8,-1.8
221,2,8,40.0,2.24,0.89,0.1,0.25,16.9,1,0,0,1.5,1.5,0.08,0.5,0.5
222,1,4,44.4,1.24,0.55,0.11,0.25,19.3,0,0,0,0.4,0.4,0.04,0.6,0.6
223,0,1,50.0,0.34,0.17,0.0,0.0,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
224,0,2,50.0,0.51,0.25,0.0,0.0,20.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
225,0,1,33.3,0.69,0.23,0.0,0.0,18.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
226,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
227,1,2,40.0,1.49,0.6,0.2,0.5,14.9,0,0,0,0.3,0.3,0.07,0.7,0.7
228,0,0,0.0,1.1,0.0,0.0,0.0,29.3,0,0,0,0.0,0.0,0.02,0.0,0.0
229,0,0,0.0,2.05,0.0,0.0,0.0,15.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
230,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
231,0,0,0.0,4.09,0.0,0.0,0.0,29.5,0,0,0,0.0,0.0,0.01,0.0,0.0
232,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
233,1,3,9.4,0.95,0.09,0.03,0.33,16.6,0,0,0,2.0,2.0,0.06,-1.0,-1.0
234,12,38,38.4,3.09,1.19,0.12,0.32,13.3,0,0,0,10.9,10.9,0.11,1.1,1.1
235,1,2,18.2,0.36,0.06,0.09,0.5,27.2,2,0,0,0.3,0.3,0.03,0.7,0.7
236,3,11,23.9,1.59,0.38,0.07,0.27,20.1,1,0,0,2.4,2.4,0.05,0.6,0.6
237,3,6,46.2,0.46,0.21,0.23,0.5,9.5,0,0,0,1.6,1.6,0.12,1.4,1.4
238,1,5,16.7,1.13,0.19,0.03,0.2,22.7,0,0,0,1.3,1.3,0.04,-0.3,-0.3
239,0,0,0.0,0.38,0.0,0.0,0.0,13.0,0,0,0,0.7,0.7,0.08,-0.7,-0.7
240,3,11,40.7,1.16,0.47,0.11,0.27,22.4,6,0,0,2.1,2.1,0.08,0.9,0.9
241,5,14,26.9,2.19,0.59,0.06,0.21,12.7,0,2,2,9.3,7.7,0.15,-4.3,-4.7
