player_id,games,minutes,mins_per_game,mins_pct,minutes_90s,game_starts,mins_per_start,games_completed,game_subs,mins_per_sub,unused_sub,PPM,onG,onGA,plus_minus,plus_minus_per90,plus_minus_wwo,onxG,onxGA,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wwo
358,32,"2,456",77.0,71.8,27.3,29,83,16,3,20,1,1.13,31,36,-5,-0.18,0.56,26.1,32.9,-6.8,-0.25,0.12
359,33,"2,444",74.0,71.5,27.2,27,87,24,6,16,2,1.0,22,34,-12,-0.44,-0.35,24.9,35.5,-10.7,-0.39,-0.39
360,28,"2,143",77.0,62.7,23.8,25,84,21,3,15,2,1.0,20,31,-11,-0.46,-0.32,21.3,29.9,-8.6,-0.36,-0.22
361,32,"2,092",65.0,61.2,23.2,23,83,9,9,21,2,0.97,28,34,-6,-0.26,0.22,25.1,30.0,-4.9,-0.21,0.19
362,32,"1,928",60.0,56.4,21.4,22,72,1,10,34,0,0.91,21,28,-7,-0.33,0.04,25.1,28.8,-3.7,-0.17,0.25
363,26,"1,725",66.0,50.4,19.2,19,84,13,7,19,7,1.04,25,26,-1,-0.05,0.58,23.8,23.1,0.7,0.03,0.64
364,25,"1,659",66.0,48.5,18.4,19,80,11,6,25,9,1.08,18,26,-8,-0.43,-0.18,19.2,23.6,-4.4,-0.24,0.09
365,24,"1,634",68.0,47.8,18.2,18,87,14,6,11,13,1.21,22,25,-3,-0.17,0.34,18.3,25.1,-6.7,-0.37,-0.17
366,22,"1,497",68.0,43.8,16.6,17,85,11,5,10,8,0.95,18,21,-3,-0.18,0.29,18.5,22.1,-3.6,-0.22,0.12
367,19,"1,431",75.0,41.8,15.9,17,80,7,2,36,1,0.89,14,22,-8,-0.5,-0.28,13.7,17.2,-3.5,-0.22,0.11
368,17,"1,339",79.0,39.2,14.9,17,79,9,0,0,0,1.24,17,20,-3,-0.2,0.23,17.6,19.9,-2.3,-0.15,0.21
369,18,"1,296",72.0,37.9,14.4,14,85,10,4,28,0,0.78,12,17,-5,-0.35,-0.01,13.0,18.4,-5.4,-0.37,-0.15
370,20,"1,204",60.0,35.2,13.4,13,79,4,7,25,0,0.85,15,21,-6,-0.45,-0.16,13.3,16.9,-3.7,-0.28,0.01
371,15,"1,084",72.0,31.7,12.0,12,83,9,3,28,4,0.8,8,12,-4,-0.33,0.01,10.7,13.6,-2.9,-0.24,0.06
372,12,830,69.0,24.3,9.2,11,71,2,1,45,4,1.08,9,12,-3,-0.33,0.02,5.9,11.6,-5.6,-0.61,-0.44
373,24,"1,016",42.0,29.7,11.3,10,62,0,14,28,14,0.88,13,12,1,0.09,0.61,10.8,13.1,-2.3,-0.21,0.11
374,10,864,86.0,25.3,9.6,9,89,8,1,61,0,0.8,7,11,-4,-0.42,-0.1,9.2,9.1,0.0,0.0,0.38
375,10,676,68.0,19.8,7.5,7,85,5,3,27,6,1.1,8,11,-3,-0.4,-0.07,8.0,11.1,-3.1,-0.41,-0.16
376,11,602,55.0,17.6,6.7,7,69,1,4,30,3,0.45,3,11,-8,-1.2,-1.04,4.6,8.3,-3.8,-0.56,-0.34
377,10,579,58.0,16.9,6.4,7,76,3,3,16,12,1.0,7,12,-5,-0.78,-0.52,5.7,8.9,-3.2,-0.49,-0.25
378,11,307,28.0,9.0,3.4,5,53,0,6,7,9,1.27,2,5,-3,-0.88,-0.59,2.6,3.8,-1.2,-0.36,-0.09
379,10,391,39.0,11.4,4.3,4,59,0,6,26,5,1.2,5,4,1,0.23,0.65,4.5,5.7,-1.2,-0.27,0.02
380,15,504,34.0,14.7,5.6,3,57,0,12,28,0,1.27,7,7,0,0.0,0.4,5.7,6.7,-1.0,-0.18,0.12
381,14,446,32.0,13.0,5.0,3,78,1,11,19,3,1.21,6,11,-5,-1.01,-0.77,5.0,9.9,-4.9,-0.99,-0.81
382,12,342,29.0,10.0,3.8,3,67,0,9,16,6,1.08,4,5,-1,-0.26,0.09,2.8,4.8,-2.0,-0.53,-0.27
383,18,334,19.0,9.8,3.7,2,56,0,16,14,8,0.89,3,2,1,0.27,0.68,4.2,5.1,-0.9,-0.24,0.04
384,12,282,24.0,8.2,3.1,2,76,1,10,13,5,1.42,5,6,-1,-0.32,0.03,4.6,4.4,0.2,0.06,0.37
385,4,109,27.0,3.2,1.2,1,57,0,3,17,15,0.5,0,0,0,0.0,0.35,0.5,0.7,-0.2,-0.2,0.08
386,2,90,45.0,2.6,1.0,1,73,0,1,17,14,1.0,2,2,0,0.0,0.35,1.6,1.8,-0.2,-0.21,0.07
387,1,90,90.0,2.6,1.0,1,90,1,0,0,37,1.0,2,2,0,0.0,0.35,1.7,2.4,-0.6,-0.6,-0.33
388,3,50,17.0,1.5,0.6,0,0,0,3,17,13,0.67,0,1,-1,-1.8,-1.48,0.6,1.2,-0.6,-1.11,-0.84
389,2,25,13.0,0.7,0.3,0,0,0,2,13,32,0.5,0,1,-1,-3.6,-3.28,1.2,1.9,-0.7,-2.4,-2.13
390,1,8,8.0,0.2,0.1,0,0,0,1,8,8,1.0,0,0,0,0.0,0.34,0.1,0.8,-0.8,-8.59,-8.33
391,1,4,4.0,0.1,0.0,0,0,0,1,4,6,0.0,0,1,-1,-22.5,-22.18,0.8,1.0,-0.2,-4.84,-4.56
392,38,"3,420",90.0,100.0,38.0,38,90,38,0,0,0,1.0,32,54,-22,-0.58,0.0,43.1,53.3,-10.2,-0.27,0.0
393,37,"3,294",89.0,96.3,36.6,37,89,36,0,0,0,0.95,31,54,-23,-0.63,-1.34,42.2,51.9,-9.6,-0.26,0.14
394,36,"3,219",89.0,94.1,35.8,36,89,35,0,0,0,1.06,32,48,-16,-0.45,2.24,40.9,48.6,-7.7,-0.22,0.91
395,37,"3,044",82.0,89.0,33.8,35,86,26,2,25,0,1.03,28,42,-14,-0.41,1.5,38.4,46.1,-7.7,-0.23,0.38
396,34,"2,970",87.0,86.8,33.0,34,87,27,0,0,0,0.88,21,49,-28,-0.85,-2.05,33.5,48.2,-14.7,-0.45,-1.34
397,35,"2,490",71.0,72.8,27.7,30,78,13,5,31,3,1.03,21,41,-20,-0.72,-0.53,32.6,37.4,-4.7,-0.17,0.36
398,35,"2,373",68.0,69.4,26.4,30,76,10,5,18,1,0.91,21,35,-14,-0.53,0.16,29.2,34.6,-5.5,-0.21,0.2
399,30,"2,107",70.0,61.6,23.4,25,79,12,5,24,1,0.97,20,32,-12,-0.51,0.17,26.0,33.0,-7.0,-0.3,-0.08
400,31,"1,819",59.0,53.2,20.2,21,75,2,10,25,5,0.94,11,23,-12,-0.59,-0.03,22.5,23.5,-1.1,-0.05,0.46
